peakid,nb_members,death_rate,success_rate,pkname,heightm,latitude,longitude
KYAS,86,0.0,0.0697674418604651,Kyashar,6770,27.75377,86.818857
KYR1,52,0.0,0.0384615384615384,Kyungka Ri 1,6599,27.906601,86.639557
LAMJ,68,0.0,0.0,Lamjung Himal,6983,28.48935,84.1892
LANG,172,0.005813953488372,0.0290697674418604,Langtang Lirung,7227,28.2575,85.51583333333333
LANR,32,0.0,0.0,Langtang Ri,7205,28.381636,85.683129
LAS2,25,0.0,0.0,Lashar II,6803,26.623981,60.243373
LCHA,563,0.0,0.0124333925399644,Lachama Chuli,6721,28.436525,84.640061
LDAK,194,0.0,0.1082474226804123,Langdak,6220,27.91698,86.5636
LDNG,421,0.0,0.0213776722090261,Langdung,6326,27.9477,86.4841
LEOE,16,0.0,0.0,Leonpo Gang East,6733,28.19636,85.799206
LHOM,144,0.0,0.0625,Lhotse Middle,8410,27.961686,86.932988
LHOT,14935,0.0006026113157013,0.044258453297623,Lhotse,8516,27.961666666666662,86.93333333333334
LIK2,20,0.0,0.2,Linkhu Chuli Nup,6659,27.811147,86.542706
LING,121,0.0,0.0,Lingtren,6713,28.027721,86.855018
LNAK,36,0.0,0.0,Lhonak,6070,27.917316,88.128358
LNJU,29,0.0,0.1034482758620689,Langju,6426,27.853095,88.195814
LSHR,381,0.0052493438320209,0.0078740157480314,Lhotse Shar,8382,27.95833333333333,86.94333333333334
LUGU,242,0.0,0.0495867768595041,Lugula,6899,28.895305,84.259595
MAK2,210,0.0,0.0619047619047619,Makalu II,7678,27.915,87.0786111111111
MAKA,8238,0.0016994416120417,0.0421218742413207,Makalu,8485,27.889722222222225,87.08888888888889
MALA,34,0.0,0.0,Malanphulan,6573,27.80342,86.867668
MANA,36004,0.0009165648261304,0.0394678369070103,Manaslu,8163,28.549444444444447,84.56194444444444
MARI,49,0.0,0.1428571428571428,Mariyang,6528,29.6933,82.8889
MERR,26,0.0,0.3461538461538461,Merra,6334,27.7408,88.0197
MNSL,25,0.0,0.16,Mansail,6235,27.9169,86.5636
MUKT,456,0.0,0.0285087719298245,Mukut Himal,6087,28.81698,83.4823
NAG1,57,0.0,0.0175438596491228,Nangpai Gosum I,7321,28.071005,86.614498
NAN2,81,0.0,0.1111111111111111,Nangamari II,6209,27.8914,87.8673
NANG,40,0.0,0.1,Nangamari I,6547,27.9106,87.8686
NEMJ,211,0.0,0.0189573459715639,Nemjung,7140,28.75694,84.4181
NEPA,81,0.0,0.037037037037037,Nepal Peak,7177,27.7764,88.1852
NORB,243,0.0,0.0411522633744856,Norbu Kang,6085,29.1191,83.0747
NPHU,37,0.0,0.1621621621621621,Narphu,5921,28.7169,84.1238
NUMB,31,0.0,0.0,Numbur,6958,27.7544,86.575
NUMR,49,0.0,0.0612244897959183,Numri,6635,27.8952,86.9758
NUPE,66,0.0,0.0303030303030303,Nuptse East I,7795,27.967195,86.885557
NUPK,537,0.0,0.0409683426443202,Nupche Kang,6576,28.1013,86.6049
NUPL,36,0.0,0.1666666666666666,Nup La Kang,6861,27.911208,86.45323
NUPT,423,0.0023640661938534,0.0307328605200945,Nuptse,7864,27.967195,86.885557
NUPW,29,0.0,0.1034482758620689,Nuptse West II,7732,27.967195,86.885557
OMIT,19,0.0,0.2631578947368421,Omitso Go,6332,27.9152,86.458
PAN1,106,0.0,0.0283018867924528,Panpoche 1,6620,28.6288,84.6838
PANB,491,0.0,0.0183299389002036,Panbari,6905,28.7183,84.4838
PAND,29,0.0,0.2068965517241379,Pandra,6670,27.8644,87.9952
PASA,51,0.0196078431372549,0.1568627450980392,Pasang Lhamu Chuli,7350,28.0733,86.6169
PATR,62,0.0,0.0483870967741935,Patrasi Himal,6450,29.4211,82.5925
PETH,153,0.0,0.0196078431372549,Pethangtse,6739,27.9575,87.0183
PHUK,25,0.0,0.2,Phu Kang,6694,28.7933,84.4491
PK04,29,0.0,0.0,Peak 4,6736,27.8527,87.0133
PK41,73,0.0,0.0684931506849315,Peak 41,6648,27.7739,86.9114
PKAR,36,0.0,0.1666666666666666,Pankar Himal,6264,28.6163,84.7425
POKR,240,0.0,0.0166666666666666,Pokharkang,6372,28.8127,84.2288
POTA,17,0.0,0.2941176470588235,Pota Himal North,6182,28.7758,83.1975
PTHE,144,0.0,0.0833333333333333,Pethangtse East,6572,27.956383,87.015555
PUCH,45,0.0,0.0,Punchen Himal,6049,28.6608,85.1483
PUMO,4088,0.0019569471624266,0.0281311154598825,Pumori,7138,28.015555555555554,86.82805555555555
PURB,62,0.0,0.032258064516129,Purbung Himal,6500,28.80138,84.02055
PURK,129,0.0,0.0775193798449612,Purkhung,6126,28.8147,83.9928
PUTH,3714,0.0,0.0487345180398492,Putha Hiunchuli,7246,28.747222222222224,83.14861111111112
RAKS,97,0.0103092783505154,0.0515463917525773,Raksha Urai,6609,30.0058,81.1288
RAMT,49,0.0,0.0,Ramtang,6601,27.7508,88.0958
RATC,620,0.0,0.0225806451612903,Ratna Chuli,7035,28.8644,84.3772
RAUN,45,0.0,0.1111111111111111,Raungsiyar,6224,27.9077,86.5594
RIPI,40,0.0,0.25,Ripimo Shar,6647,27.8833,86.4666
ROCN,36,0.0,0.0555555555555555,Roc Noir,7485,28.6133,83.8736
ROLK,40,0.0,0.15,Rolwaling Kang,6664,27.8975,86.5231
SAIE,64,0.0,0.046875,Saipal East Humla,6925,29.8911,81.5005
SAIP,400,0.0,0.0,Saipal,7030,29.8877,81.4947
SAMD,298,0.0,0.0201342281879194,Samdo,6335,28.63611,84.69722
SARI,630,0.0,0.1,Saribung,6328,28.8844,84.1738
SHAR,100,0.0,0.0,Shartse,7591,27.9552,86.9675
SHER,34,0.0,0.0,Shershon,6432,27.8339,87.1289
SHEY,37,0.0,0.027027027027027,Shey Shikhar,6139,29.2869,82.7972
SHNW,277,0.0,0.0722021660649819,Shershon Northwest,6682,27.8552,87.1108
SIMN,93,0.0,0.064516129032258,Simnang Himal,6251,28.5163,84.5972
SITA,64,0.0,0.015625,Sita Chuchura,6611,28.7825,83.4847
SPH2,29,0.0,0.0689655172413793,Sharphu II,6328,27.7577,87.9216
SPH6,16,0.0,0.0,Sharphu VI,6076,27.7736,87.9258
SPHN,36,0.0,0.1388888888888889,Sphinx,6825,27.9881,86.9253
SURM,20,0.0,0.1,Surma-Sarovar North,6564,29.8352,81.0855
SWAK,16,0.0,0.0,Swaksa Kang,6405,29.6863,82.8583
SYKG,36,0.0,0.1388888888888889,Syaokang,5929,27.8825,87.8961
TAKN,36,0.0,0.1666666666666666,Takphu North,6142,30.3036,81.4222
TAKP,35,0.0,0.1142857142857142,Takphu Himal,6395,30.2838,81.4177
TASH,421,0.0,0.0522565320665083,Tashi Kang,6386,28.853,83.6313
TAWO,75,0.0133333333333333,0.1333333333333333,Tawoche,6495,27.8972,86.7816
TENG,118,0.0,0.1186440677966101,Tengkoma,6215,27.8083,88.0766
TENR,83,0.0,0.072289156626506,Tengi Ragi Tau,6938,27.8572,86.5563
THAM,16,0.0,0.125,Thamserku,6618,27.7897,86.7877
THOR,36,0.0,0.1666666666666666,Thorong Peak,6144,28.7825,83.93
THRK,81,0.0,0.037037037037037,Tharke Kang,6710,28.0438,86.7516
THUL,155,0.0193548387096774,0.0258064516129032,Thulagi,7059,28.5277,84.5227
TILI,1785,0.0016806722689075,0.0201680672268907,Tilicho,7134,28.684444444444445,83.80444444444444
TKPO,521,0.0019193857965451,0.0307101727447216,Tengkangpoche,6482,27.8039,86.5986
TKRG,20,0.0,0.1,Takargo,6771,27.8747,86.5117
TLNG,111,0.0,0.045045045045045,Talung,7349,27.6547,88.1336
TOBS,555,0.0,0.0054054054054054,Tobsar,6065,28.5805,85.0594
TSAR,158,0.0,0.0253164556962025,Tsartse,6343,28.8613,83.6486
TUKU,1723,0.0,0.0185722576900754,Tukuche,6920,28.74,83.61999999999999
TUTS,13,0.0,0.0,Tutse,6758,27.7719,87.1013
URKM,13,0.0,0.0,Urkinmang,6143,28.1691,85.715
URMA,1181,0.0,0.0270956816257408,Urkema,5890,29.8352,81.0855
YAKA,44,0.0,0.0227272727272727,Yakawa Kang,6482,28.8086,83.9444
YALU,82,0.0121951219512195,0.0121951219512195,Yalung Kang,8505,27.705,88.1386
YANS,44,0.0,0.0454545454545454,Yansa Tsenji,6567,28.2563,85.6083
YAUP,40,0.0,0.0,Yaupa,6422,27.8369,87.143
